               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11591,            0.019907,                   0,            0.012308,            0.023077,           0.0012122,          0.00027599,            0.086388,            0.015752,                   0,           0.0015877,           0.0015877,             0.02678
                   1,            0.083197,             0.01985,                   0,            0.086794,             0.16923,            0.055292,            0.011213,            0.069217,            0.013853,                   0,           0.0031877,           0.0031877,             0.00338
                   2,            0.076109,             0.01689,                   0,             0.14016,             0.50656,             0.11779,            0.024026,            0.059582,            0.013941,                   0,           0.0031999,           0.0031999,           0.0031999
                   3,            0.058925,            0.018632,                   0,             0.29895,             0.22308,             0.10754,            0.019936,            0.060198,            0.013001,                   0,           0.0031995,           0.0031995,           0.0031995
                   4,            0.056604,            0.016851,                   0,             0.57073,             0.66154,             0.65436,             0.20183,            0.041127,            0.013264,                   0,           0.0031989,           0.0031989,           0.0031989
                   5,            0.045484,            0.015504,                   0,             0.77834,             0.89231,             0.87889,             0.35032,            0.037304,            0.011419,                   0,            0.003198,            0.003198,            0.003198
                   6,            0.044482,            0.014132,                   0,             0.47967,             0.66154,             0.62224,             0.16732,            0.037459,           0.0099687,                   0,           0.0031969,           0.0031969,           0.0031969
                   7,            0.038253,            0.013222,                   0,             0.59544,             0.90769,             0.63809,             0.35384,            0.034462,           0.0087984,                   0,           0.0031956,           0.0031956,           0.0031956
                   8,             0.03679,            0.011654,                   0,             0.77482,             0.89994,             0.88118,             0.45043,             0.02905,           0.0089437,                   0,            0.003194,            0.003194,            0.003194
                   9,             0.03561,            0.011037,                   0,             0.98383,             0.96923,             0.98612,             0.56651,            0.028356,           0.0080726,                   0,           0.0031922,           0.0031922,           0.0031922
                  10,               0.032,            0.011002,                   0,             0.86666,             0.90769,             0.92428,             0.39581,            0.034606,           0.0078831,                   0,           0.0031901,           0.0031901,           0.0031901
                  11,            0.030348,           0.0096729,                   0,             0.99212,             0.96898,             0.98399,             0.52543,              0.0259,           0.0077585,                   0,           0.0031878,           0.0031878,           0.0031878
                  12,            0.030295,           0.0092998,                   0,             0.87389,             0.92308,             0.95889,              0.4978,            0.027074,           0.0080854,                   0,           0.0031852,           0.0031852,           0.0031852
                  13,            0.027794,           0.0089799,                   0,             0.91166,             0.95262,             0.97468,             0.62424,            0.024106,           0.0077592,                   0,           0.0031824,           0.0031824,           0.0031824
                  14,            0.028339,           0.0089354,                   0,             0.96942,             0.97692,             0.98528,             0.61772,            0.023099,           0.0072549,                   0,           0.0031793,           0.0031793,           0.0031793
                  15,            0.028785,           0.0087769,                   0,             0.96946,              0.9767,             0.98402,             0.59103,             0.02177,           0.0073092,                   0,           0.0031761,           0.0031761,           0.0031761
                  16,             0.02544,           0.0084237,                   0,             0.98458,             0.98462,             0.99341,             0.65489,             0.01913,           0.0067334,                   0,           0.0031725,           0.0031725,           0.0031725
                  17,            0.024457,           0.0079428,                   0,             0.98459,             0.98462,             0.99278,             0.59465,            0.021179,           0.0066631,                   0,           0.0031687,           0.0031687,           0.0031687
                  18,            0.024475,           0.0076929,                   0,             0.99214,             0.98462,              0.9931,             0.67404,            0.019775,           0.0066577,                   0,           0.0031647,           0.0031647,           0.0031647
                  19,            0.023462,           0.0075725,                   0,             0.99997,             0.98462,             0.99327,             0.67296,            0.020196,           0.0066618,                   0,           0.0031605,           0.0031605,           0.0031605
                  20,            0.021919,           0.0076207,                   0,              0.9922,             0.98462,             0.99291,             0.64358,            0.019358,           0.0064238,                   0,            0.003156,            0.003156,            0.003156
                  21,            0.022377,             0.00738,                   0,             0.99216,             0.98462,             0.98893,             0.71944,            0.019563,           0.0062774,                   0,           0.0031513,           0.0031513,           0.0031513
                  22,            0.025501,           0.0076193,                   0,             0.99986,             0.98462,             0.99316,              0.6678,            0.018923,           0.0064863,                   0,           0.0031463,           0.0031463,           0.0031463
                  23,            0.024096,           0.0073357,                   0,             0.99209,             0.98462,             0.99309,               0.695,            0.017939,           0.0064601,                   0,           0.0031411,           0.0031411,           0.0031411
                  24,            0.024142,           0.0073538,                   0,             0.97709,             0.98434,             0.98858,             0.69992,            0.017311,           0.0063579,                   0,           0.0031357,           0.0031357,           0.0031357
                  25,            0.022383,            0.007151,                   0,             0.98398,             0.97692,             0.99256,             0.70076,            0.019077,           0.0064127,                   0,             0.00313,             0.00313,             0.00313
                  26,            0.021673,           0.0071076,                   0,             0.99224,             0.98462,             0.99462,             0.56172,            0.023678,           0.0061303,                   0,           0.0031241,           0.0031241,           0.0031241
                  27,            0.021861,           0.0069296,                   0,             0.99997,             0.98462,             0.99463,             0.70525,            0.018215,           0.0060406,                   0,           0.0031179,           0.0031179,           0.0031179
                  28,            0.021899,           0.0068478,                   0,             0.98449,             0.97675,             0.98836,              0.6909,            0.016396,           0.0064737,                   0,           0.0031116,           0.0031116,           0.0031116
                  29,            0.021496,           0.0068026,                   0,             0.99213,             0.98462,             0.98949,             0.73545,            0.018162,           0.0060718,                   0,            0.003105,            0.003105,            0.003105
                  30,            0.021175,           0.0068486,                   0,                   1,             0.96119,             0.99381,             0.70531,            0.017124,           0.0060803,                   0,           0.0030981,           0.0030981,           0.0030981
                  31,            0.021406,           0.0067784,                   0,             0.99983,             0.98462,             0.98818,             0.68959,            0.017924,           0.0058511,                   0,           0.0030911,           0.0030911,           0.0030911
                  32,            0.019092,           0.0064001,                   0,             0.99214,             0.98462,             0.99454,             0.67173,            0.018062,           0.0057785,                   0,           0.0030838,           0.0030838,           0.0030838
                  33,            0.019453,           0.0063155,                   0,             0.99225,             0.98449,              0.9947,             0.70671,             0.01721,           0.0057622,                   0,           0.0030763,           0.0030763,           0.0030763
                  34,            0.018403,           0.0061667,                   0,             0.99988,             0.98462,             0.99463,             0.69474,            0.016702,           0.0057325,                   0,           0.0030686,           0.0030686,           0.0030686
                  35,            0.018596,           0.0065252,                   0,                   1,             0.98453,             0.98948,             0.68118,            0.017601,           0.0059007,                   0,           0.0030606,           0.0030606,           0.0030606
                  36,            0.017076,           0.0059073,                   0,             0.99225,              0.9846,             0.98805,              0.6463,            0.019557,           0.0061646,                   0,           0.0030525,           0.0030525,           0.0030525
                  37,            0.019572,           0.0063122,                   0,                   1,             0.98449,             0.99477,             0.68577,            0.019066,           0.0057097,                   0,           0.0030441,           0.0030441,           0.0030441
                  38,            0.020178,           0.0062616,                   0,             0.96991,             0.99192,             0.99361,              0.6871,            0.016625,           0.0057855,                   0,           0.0030355,           0.0030355,           0.0030355
                  39,            0.019564,           0.0063786,                   0,             0.99216,             0.98462,             0.99425,             0.72905,            0.016123,           0.0056408,                   0,           0.0030266,           0.0030266,           0.0030266
                  40,            0.018265,            0.006322,                   0,             0.99216,             0.97692,             0.99324,             0.71697,            0.017582,           0.0059971,                   0,           0.0030176,           0.0030176,           0.0030176
                  41,            0.018606,           0.0059868,                   0,             0.99231,             0.99199,             0.99477,             0.68624,            0.018848,            0.005958,                   0,           0.0030083,           0.0030083,           0.0030083
                  42,            0.017826,           0.0061512,                   0,                   1,             0.99063,               0.995,             0.68196,            0.020148,            0.005862,                   0,           0.0029989,           0.0029989,           0.0029989
                  43,            0.019227,              0.0063,                   0,                   1,             0.98457,             0.99456,             0.76039,            0.015617,            0.005686,                   0,           0.0029892,           0.0029892,           0.0029892
                  44,            0.018373,           0.0061584,                   0,             0.97708,             0.98359,             0.99325,             0.65011,            0.020534,           0.0058671,                   0,           0.0029793,           0.0029793,           0.0029793
                  45,             0.01903,           0.0060789,                   0,             0.99212,             0.98462,              0.9893,             0.75381,            0.015377,           0.0055658,                   0,           0.0029692,           0.0029692,           0.0029692
                  46,            0.017039,           0.0062283,                   0,             0.97708,             0.98387,             0.98967,             0.75775,            0.014473,           0.0060284,                   0,           0.0029589,           0.0029589,           0.0029589
                  47,            0.017689,           0.0060414,                   0,                   1,              0.9841,             0.98879,             0.73797,            0.015403,           0.0059523,                   0,           0.0029484,           0.0029484,           0.0029484
                  48,             0.01754,           0.0060747,                   0,             0.99215,             0.98462,             0.98968,             0.72018,            0.016117,           0.0059196,                   0,           0.0029377,           0.0029377,           0.0029377
                  49,            0.015873,           0.0060186,                   0,             0.96956,             0.98462,             0.99302,             0.68568,            0.017226,           0.0060751,                   0,           0.0029268,           0.0029268,           0.0029268
                  50,            0.015971,           0.0057437,                   0,             0.99182,             0.98462,             0.99345,             0.69545,            0.017105,           0.0061548,                   0,           0.0029157,           0.0029157,           0.0029157
                  51,            0.018514,           0.0058735,                   0,                   1,             0.98446,             0.99415,             0.76024,            0.014925,           0.0057236,                   0,           0.0029044,           0.0029044,           0.0029044
                  52,            0.016855,           0.0060822,                   0,             0.99977,             0.98462,             0.99442,             0.72072,            0.017093,            0.005781,                   0,           0.0028929,           0.0028929,           0.0028929
                  53,            0.016448,            0.005667,                   0,                   1,             0.98456,             0.99442,             0.75324,            0.014948,           0.0058889,                   0,           0.0028812,           0.0028812,           0.0028812
                  54,            0.015867,           0.0059619,                   0,             0.95514,             0.98462,             0.99081,             0.74983,             0.01577,           0.0061269,                   0,           0.0028694,           0.0028694,           0.0028694
                  55,              0.0172,           0.0057437,                   0,                   1,              0.9844,             0.99449,             0.71969,            0.016331,           0.0054959,                   0,           0.0028573,           0.0028573,           0.0028573
                  56,            0.015204,           0.0055161,                   0,             0.99997,             0.98462,             0.99477,             0.74411,             0.01641,           0.0055178,                   0,            0.002845,            0.002845,            0.002845
                  57,            0.014601,           0.0058209,                   0,             0.98427,             0.98462,             0.99439,             0.73092,            0.017327,           0.0055432,                   0,           0.0028326,           0.0028326,           0.0028326
                  58,            0.014796,           0.0056985,                   0,             0.99947,             0.97692,             0.99455,             0.71065,            0.016349,           0.0056083,                   0,             0.00282,             0.00282,             0.00282
                  59,            0.016464,           0.0056532,                   0,                   1,             0.98389,             0.99477,             0.73865,            0.015117,           0.0053423,                   0,           0.0028072,           0.0028072,           0.0028072
                  60,            0.016029,           0.0058724,                   0,             0.98408,             0.98462,             0.99363,             0.72439,            0.016223,           0.0054339,                   0,           0.0027943,           0.0027943,           0.0027943
                  61,            0.017183,           0.0058053,                   0,             0.99217,             0.98462,             0.99448,             0.74126,             0.01504,           0.0052677,                   0,           0.0027811,           0.0027811,           0.0027811
                  62,            0.016813,           0.0055882,                   0,             0.99996,             0.97692,             0.99441,             0.74263,            0.015072,           0.0052615,                   0,           0.0027678,           0.0027678,           0.0027678
                  63,            0.016631,           0.0056321,                   0,             0.98461,             0.98446,             0.99384,             0.76724,            0.014767,            0.005276,                   0,           0.0027543,           0.0027543,           0.0027543
                  64,            0.014137,           0.0054176,                   0,             0.98449,             0.97656,             0.99296,              0.7458,            0.014389,           0.0054453,                   0,           0.0027407,           0.0027407,           0.0027407
                  65,            0.016066,            0.005673,                   0,                   1,             0.96921,             0.99439,              0.7231,            0.015713,           0.0052776,                   0,           0.0027269,           0.0027269,           0.0027269
                  66,            0.014827,           0.0054794,                   0,             0.97726,             0.99185,             0.99438,             0.71961,            0.016565,           0.0052483,                   0,           0.0027129,           0.0027129,           0.0027129
                  67,            0.015284,           0.0056063,                   0,             0.98473,             0.99212,             0.99477,              0.7535,            0.014545,           0.0051295,                   0,           0.0026987,           0.0026987,           0.0026987
                  68,            0.014969,           0.0053413,                   0,             0.95542,             0.99231,             0.99264,             0.74491,            0.015267,           0.0057541,                   0,           0.0026844,           0.0026844,           0.0026844
                  69,            0.016004,           0.0056935,                   0,             0.99206,             0.96145,             0.99345,             0.76923,            0.013978,           0.0057355,                   0,             0.00267,             0.00267,             0.00267
                  70,             0.01555,           0.0054325,                   0,             0.96969,             0.98453,             0.99282,             0.76219,            0.013964,           0.0056156,                   0,           0.0026554,           0.0026554,           0.0026554
                  71,            0.014365,           0.0050888,                   0,             0.98427,             0.96923,             0.99349,             0.75599,            0.015563,            0.005732,                   0,           0.0026406,           0.0026406,           0.0026406
                  72,            0.013971,           0.0050193,                   0,              0.9699,              0.9914,             0.99377,             0.74731,            0.014576,           0.0054729,                   0,           0.0026257,           0.0026257,           0.0026257
                  73,            0.014461,           0.0054405,                   0,             0.98449,             0.99231,             0.99462,             0.75549,             0.01407,           0.0052473,                   0,           0.0026107,           0.0026107,           0.0026107
                  74,            0.013374,           0.0054028,                   0,              0.9921,             0.96923,             0.99388,             0.72944,            0.015933,           0.0055932,                   0,           0.0025955,           0.0025955,           0.0025955
                  75,             0.01408,            0.005236,                   0,                   1,             0.95373,              0.9935,             0.76615,            0.013778,           0.0057616,                   0,           0.0025801,           0.0025801,           0.0025801
                  76,            0.013033,           0.0050991,                   0,             0.96884,             0.96923,             0.99029,             0.71344,            0.016771,           0.0058891,                   0,           0.0025647,           0.0025647,           0.0025647
                  77,            0.014786,           0.0054048,                   0,             0.98394,             0.96923,              0.9926,             0.75061,             0.01374,           0.0056931,                   0,           0.0025491,           0.0025491,           0.0025491
                  78,            0.013977,           0.0050017,                   0,              0.9624,             0.98462,             0.99318,             0.73587,            0.014364,           0.0057214,                   0,           0.0025333,           0.0025333,           0.0025333
                  79,            0.014081,           0.0051166,                   0,             0.99087,             0.96154,             0.99287,             0.76555,            0.013646,           0.0060465,                   0,           0.0025175,           0.0025175,           0.0025175
                  80,            0.014291,           0.0051639,                   0,             0.96887,             0.96154,             0.99022,             0.75691,            0.014042,           0.0060948,                   0,           0.0025015,           0.0025015,           0.0025015
                  81,            0.012307,           0.0049577,                   0,             0.98363,             0.94615,             0.98998,             0.71519,            0.016264,           0.0063041,                   0,           0.0024854,           0.0024854,           0.0024854
                  82,            0.013525,             0.00527,                   0,             0.99205,             0.95934,             0.99307,             0.76624,            0.014112,           0.0057027,                   0,           0.0024691,           0.0024691,           0.0024691
                  83,             0.01289,           0.0051313,                   0,             0.96268,             0.99218,             0.99315,             0.73778,            0.014747,            0.005609,                   0,           0.0024528,           0.0024528,           0.0024528
                  84,            0.013188,            0.005052,                   0,             0.95553,             0.99175,             0.99264,             0.73351,            0.015176,           0.0057576,                   0,           0.0024363,           0.0024363,           0.0024363
                  85,            0.013397,           0.0051111,                   0,             0.99212,              0.9689,             0.99363,             0.74189,            0.015153,           0.0055701,                   0,           0.0024197,           0.0024197,           0.0024197
                  86,            0.013806,           0.0049037,                   0,             0.96991,             0.99231,             0.99377,             0.75837,            0.014436,           0.0053295,                   0,            0.002403,            0.002403,            0.002403
                  87,             0.01448,           0.0053414,                   0,             0.98436,             0.96847,             0.99327,             0.74953,            0.014644,           0.0056367,                   0,           0.0023862,           0.0023862,           0.0023862
                  88,             0.01303,           0.0049043,                   0,             0.96183,              0.9692,             0.99071,             0.75971,            0.014101,           0.0060058,                   0,           0.0023693,           0.0023693,           0.0023693
                  89,            0.012349,           0.0048191,                   0,             0.95273,             0.93025,             0.97928,             0.74448,             0.01503,            0.006535,                   0,           0.0023523,           0.0023523,           0.0023523
                  90,            0.012913,           0.0048411,                   0,             0.95469,             0.97692,             0.98961,             0.76069,            0.014005,           0.0061152,                   0,           0.0023352,           0.0023352,           0.0023352
                  91,            0.013185,            0.004855,                   0,             0.95508,             0.98462,             0.99151,             0.75689,            0.014619,           0.0060826,                   0,            0.002318,            0.002318,            0.002318
                  92,            0.012963,           0.0048783,                   0,             0.97668,             0.97692,             0.99206,             0.75044,            0.014299,           0.0059598,                   0,           0.0023008,           0.0023008,           0.0023008
                  93,            0.012996,           0.0048325,                   0,             0.98428,             0.98462,             0.99375,             0.72131,            0.016177,           0.0061204,                   0,           0.0022834,           0.0022834,           0.0022834
                  94,            0.012941,           0.0050538,                   0,              0.9767,             0.97692,             0.99261,             0.74377,            0.015271,           0.0057209,                   0,           0.0022659,           0.0022659,           0.0022659
                  95,            0.012373,           0.0048143,                   0,             0.96919,             0.98462,             0.99244,             0.74517,            0.014907,           0.0055992,                   0,           0.0022484,           0.0022484,           0.0022484
                  96,            0.012931,             0.00471,                   0,             0.97691,             0.97692,             0.99321,             0.74711,            0.014874,           0.0054879,                   0,           0.0022308,           0.0022308,           0.0022308
                  97,             0.01131,           0.0048561,                   0,             0.94745,             0.98462,             0.98971,             0.73022,            0.015773,           0.0059279,                   0,           0.0022131,           0.0022131,           0.0022131
                  98,            0.012028,            0.004627,                   0,             0.96155,             0.96923,             0.98943,             0.74246,            0.014494,           0.0059229,                   0,           0.0021953,           0.0021953,           0.0021953
                  99,            0.012257,           0.0047171,                   0,              0.9618,             0.96834,              0.9891,             0.73192,            0.014612,           0.0061649,                   0,           0.0021775,           0.0021775,           0.0021775
                 100,            0.012561,           0.0050604,                   0,             0.95504,             0.99231,             0.99199,               0.738,            0.014923,           0.0059474,                   0,           0.0021595,           0.0021595,           0.0021595
                 101,            0.013169,           0.0049392,                   0,             0.96268,             0.99224,             0.99282,             0.76598,            0.013859,           0.0056314,                   0,           0.0021416,           0.0021416,           0.0021416
